timestamp,temp_c,cap_pf,cap_sd_pf,permittivity,optical_ratio,index,tpm_equiv,validation,ch410,ch435,ch460,ch485,ch510,ch535,ch560,ch585,ch610,ch645,ch680,ch705,ch730,ch760,ch810,ch860,ch900,ch940
2026-08-06T07:06:49.836Z,29.3,9.23,0.0279,10.9379,0.6888,1.3500,30.95,optical,19.994,13.492,18.89,16.08,26.234,23.829,27.075,31.869,31.769,5.332,3.168,2.99,61.077,22.915,5.499,4.23,10.243,20.462
2026-08-06T07:06:49.970Z,28.4,8.6839,0.0218,8.8522,0.8863,0.7194,20.23,optical,26.659,25.056,65.172,22.333,59.963,35.383,42.629,48.865,42.675,5.332,4.435,2.99,82.972,26.04,4.713,3.384,12.804,26.145
2026-08-06T07:06:51.841Z,27.6,8.9113,0.0448,9.7189,0.7384,1.3500,30.95,optical,28.325,31.802,116.176,19.653,72.705,57.046,36.292,39.305,33.192,6.665,4.435,2.99,77.21,35.415,6.284,5.076,16.218,36.376
2026-08-06T07:06:51.882Z,29.3,8.545,0.002,8.3234,1.2952,0.0000,8.00,optical,83.309,56.857,183.236,42.879,124.423,88.818,68.552,69.049,54.529,10.664,7.603,3.986,133.677,43.748,9.427,7.613,24.754,44.333
2026-08-06T07:06:51.916Z,28.4,8.293,0.0012,7.3602,0.1169,1.3500,30.95,optical,57.484,12.528,85.951,4.467,13.492,64.989,8.065,12.747,24.182,5.332,5.069,1.993,25.353,59.372,8.641,7.613,24.754,101.171
2026-08-06T07:06:51.958Z,29.1,8.6656,0.1082,8.7834,1.2559,0.0000,8.00,optical,61.649,39.511,140.733,25.013,74.204,41.882,5.761,10.623,18.967,5.776,5.702,2.99,56.467,17.707,6.284,5.076,15.365,31.829
2026-08-06T07:06:51.996Z,26.4,25.8401,0.2512,74.3309,1.2716,0.0000,8.00,reading unstable,3.332,5.782,11.334,3.573,12.742,7.221,6.337,7.967,15.173,4.443,47.517,3.986,36.877,11.458,2.357,1.692,3.414,5.684
2026-08-06T07:06:52.138Z,27.9,16.6696,2.7003,39.3312,0.8976,0.6661,19.32,reading unstable,69.147,56.857,204.016,28.586,135.666,99.65,70.28,73.829,57.848,10.219,8.236,3.986,121.001,54.164,11.783,9.305,28.168,62.521
2026-08-06T07:06:54.351Z,29.1,8.8938,0.0092,9.6544,0.7418,1.3500,30.95,optical,26.659,14.455,8.501,6.253,5.996,2.888,4.609,6.905,18.492,3.11,2.534,1.993,17.286,13.541,3.928,2.538,5.975,19.325
2026-08-06T07:07:04.835Z,28.5,101.6036,14.3718,363.5077,0.0777,1.3500,30.95,reading unstable,9.164,10.601,58.56,8.04,29.981,22.385,9.793,10.092,15.647,3.555,4.435,1.993,55.315,85.412,6.284,6.767,29.876,137.547
2026-08-07T10:29:17.000Z,30,6.3621,0.0079,-0.0073,,,,optical
2026-08-07T11:14:11.000Z,30,7.5808,0.0373,4.6443,1.1808,0.0000,8.00,optical,122.465,43.366,97.285,19.653,77.202,61.378,48.39,49.928,41.252,8.442,5.702,3.986,92.191,37.498,9.427,7.613,19.633,36.376
2026-08-07T11:16:45.000Z,30,7.2001,0.0291,3.1912,0.7585,1.3500,30.95,optical,61.649,19.274,47.226,8.933,20.987,14.442,10.369,14.341,17.07,4.443,3.168,1.993,26.505,19.791,5.499,4.23,9.389,25.009
2026-08-07T11:17:20.000Z,30,6.9916,0.0679,2.3954,1.1303,0.0000,8.00,optical,62.482,18.31,38.725,9.826,13.492,10.831,11.521,15.403,19.441,3.999,3.168,1.993,32.267,15.624,5.499,5.076,7.682,17.051
2026-08-07T11:20:26.000Z,30,6.6253,0.0208,0.9973,,,,optical
2026-08-07T11:21:14.000Z,30,7.1488,0.0721,2.9954,1.1868,0.0000,8.00,optical,109.968,43.366,100.119,26.799,74.953,62.1,51.27,56.832,42.675,7.998,5.069,2.99,101.41,34.373,7.855,6.767,17.925,31.829
2026-08-07T13:10:02.000Z,25.8,6.8214,0.0049,1.7395,0.0122,1.3500,30.95,optical,13.33,7.709,15.112,6.253,8.994,6.499,13.826,10.092,9.009,4.888,3.801,1.993,123.306,158.325,10.212,11.843,64.019,316.017
2026-08-07T13:27:10.000Z,25.8,7.1239,0.0177,2.8941,1.1868,0.0000,8.00,optical,33.324,15.419,33.058,7.146,13.492,7.943,6.337,6.905,7.112,1.333,1.901,1.993,10.372,6.25,1.571,1.692,3.414,11.368
2026-08-07T13:27:23.000Z,25.9,7.09,0.023,2.7648,1.2245,0.0000,8.00,optical,32.491,14.455,30.225,7.146,12.742,7.943,5.761,6.374,6.638,1.333,1.901,1.993,9.219,6.25,1.571,1.692,3.414,10.231
2026-08-07T13:31:53.000Z,26.6,23.1065,2.3085,63.8976,0.8470,0.9100,23.47,reading unstable,2.499,4.818,11.334,4.467,6.746,6.499,6.337,6.905,5.69,1.333,1.267,1.993,11.524,5.208,0.786,0.846,0.854,1.137
2026-08-07T13:32:05.000Z,26.7,10.1349,4.5779,14.3878,0.0168,1.3500,30.95,reading unstable,9.164,12.528,43.448,12.506,31.48,28.884,12.673,13.279,14.225,6.22,8.87,1.993,195.907,129.16,20.424,16.073,91.334,343.3
2026-08-07T13:32:18.000Z,26.8,48.6251,32.5951,161.2971,0.0132,1.3500,30.95,reading unstable,6.665,12.528,39.67,8.933,26.234,23.829,12.097,9.029,13.277,4.888,7.603,1.993,174.011,117.702,18.068,15.227,91.334,364.898
2026-08-07T13:32:30.000Z,26.9,65.0371,41.5627,223.9385,0.0288,1.3500,30.95,reading unstable,4.165,8.673,34.947,6.253,25.484,14.442,4.609,5.843,11.854,4.443,46.25,4.983,76.058,62.497,10.998,8.459,55.483,302.376
2026-08-07T13:32:43.000Z,26.9,8.2538,0.0011,7.2083,0.2338,1.3500,30.95,optical,9.164,8.673,29.28,5.36,11.243,7.943,6.337,12.747,24.182,3.555,2.534,1.993,42.638,26.04,3.142,2.538,9.389,32.966
